	subject_ID	RT	Condition	Display_Size
0	1	1584.2	disjunction_negative	15
1	1	1643.0	disjunction_negative	30
2	1	1075.4	disjunction_negative	5
3	1	1637.4	disjunction_negative	15
4	1	1799.7	disjunction_negative	15
5	1	1229.1	disjunction_negative	5
6	1	1095.3	disjunction_negative	5
7	1	1349.8	disjunction_negative	15
8	1	649.5	disjunction_negative	5
9	1	1599.7	disjunction_negative	5
10	1	1583.3	disjunction_negative	15
11	1	1212.0	disjunction_negative	5
12	1	1328.6	disjunction_negative	1
13	1	2071.1	disjunction_negative	15
14	1	1739.8	disjunction_negative	30
15	1	971.8	disjunction_negative	1
16	1	1422.6	disjunction_negative	30
17	1	1805.7	disjunction_negative	15
18	1	1902.8	disjunction_negative	30
19	1	988.8	disjunction_negative	15
20	1	543.3	disjunction_negative	5
21	1	931.7	disjunction_negative	1
22	1	1528.3	disjunction_negative	30
23	1	808.0	disjunction_negative	15
24	1	1489.7	disjunction_negative	30
25	1	656.0	disjunction_negative	5
26	1	1232.1	disjunction_negative	5
27	1	1624.8	disjunction_negative	30
28	1	1223.4	disjunction_negative	15
29	1	528.8	disjunction_negative	5
30	1	485.7	disjunction_negative	5
31	1	897.0	disjunction_negative	1
32	1	815.8	disjunction_negative	1
33	1	1112.9	disjunction_negative	30
34	1	1447.1	disjunction_negative	30
35	1	758.9	disjunction_negative	5
36	1	547.0	disjunction_negative	5
37	1	678.3	disjunction_negative	1
38	1	1557.8	disjunction_negative	30
39	1	481.6	disjunction_negative	5
40	1	504.0	disjunction_negative	15
41	1	574.2	disjunction_negative	30
42	1	481.0	disjunction_negative	1
43	1	888.1	disjunction_negative	30
44	1	734.1	disjunction_negative	1
45	1	586.6	disjunction_negative	1
46	1	493.3	disjunction_negative	1
47	1	340.0	disjunction_negative	1
48	1	809.2	disjunction_negative	1
49	1	883.0	disjunction_negative	30
50	1	553.2	disjunction_negative	1
51	1	1779.7	disjunction_negative	15
52	1	693.0	disjunction_negative	15
53	1	1267.1	disjunction_negative	30
54	1	922.3	disjunction_negative	15
55	1	735.3	disjunction_negative	1
56	1	1267.7	disjunction_negative	15
57	1	714.8	disjunction_negative	30
58	1	936.0	disjunction_negative	30
59	1	588.7	disjunction_negative	30
60	1	966.0	disjunction_negative	30
61	1	1124.4	disjunction_negative	15
62	1	610.1	disjunction_negative	15
63	1	579.6	disjunction_negative	5
64	1	952.7	disjunction_negative	5
65	1	639.1	disjunction_negative	1
66	1	500.8	disjunction_negative	1
67	1	801.3	disjunction_negative	15
68	1	891.6	disjunction_negative	15
69	1	612.6	disjunction_negative	15
70	1	518.2	disjunction_negative	1
71	1	719.8	disjunction_negative	5
72	1	628.8	disjunction_negative	1
73	1	662.0	disjunction_negative	5
74	1	543.8	disjunction_negative	1
75	1	1072.1	disjunction_negative	30
76	1	703.8	disjunction_negative	15
77	1	764.2	disjunction_negative	15
78	1	679.2	disjunction_negative	5
79	1	667.0	disjunction_negative	30
80	1	954.4	disjunction_negative	1
81	1	445.9	disjunction_negative	1
82	1	2066.8	disjunction_negative	15
83	1	934.2	disjunction_negative	15
84	1	1159.6	disjunction_negative	5
85	1	768.0	disjunction_negative	30
86	1	1163.6	disjunction_negative	1
87	1	696.8	disjunction_negative	1
88	1	1063.7	disjunction_negative	30
89	1	780.7	disjunction_negative	15
90	1	1238.9	disjunction_negative	30
91	1	831.8	disjunction_negative	15
92	1	1606.6	disjunction_negative	5
93	1	554.6	disjunction_negative	1
94	1	542.4	disjunction_negative	1
95	1	622.1	disjunction_negative	5
96	1	775.8	disjunction_negative	1
97	1	963.3	disjunction_negative	5
98	1	666.0	disjunction_negative	5
99	1	1183.3	disjunction_negative	30
100	1	489.7	disjunction_negative	5
101	1	1120.2	disjunction_negative	30
102	1	445.9	disjunction_negative	5
103	1	520.2	disjunction_negative	15
104	1	582.7	disjunction_negative	5
105	1	362.7	disjunction_negative	5
106	1	1112.2	disjunction_negative	15
107	1	565.7	disjunction_negative	30
108	1	1208.9	disjunction_negative	30
109	1	473.3	disjunction_negative	1
110	1	276.3	disjunction_negative	15
111	1	755.6	disjunction_negative	30
112	1	677.8	disjunction_negative	1
113	1	756.9	disjunction_negative	30
114	1	641.2	disjunction_negative	30
115	1	947.6	disjunction_negative	1
116	1	423.4	disjunction_negative	1
117	1	531.7	disjunction_negative	5
118	1	952.1	disjunction_negative	5
119	1	1004.2	disjunction_negative	15
120	1	875.9	disjunction_negative	1
121	1	579.0	disjunction_negative	1
122	1	1542.4	disjunction_negative	30
123	1	658.7	disjunction_negative	1
124	1	626.8	disjunction_negative	1
125	1	1444.3	disjunction_negative	15
126	1	676.4	disjunction_negative	5
127	1	659.8	disjunction_negative	5
128	1	1571.5	disjunction_negative	30
129	1	526.5	disjunction_negative	5
130	1	1427.9	disjunction_negative	30
131	1	615.7	disjunction_negative	15
132	1	600.8	disjunction_negative	15
133	1	458.8	disjunction_negative	5
134	1	717.9	disjunction_negative	1
135	1	557.0	disjunction_negative	15
136	1	741.2	disjunction_negative	30
137	1	593.6	disjunction_negative	15
138	1	740.4	disjunction_negative	15
139	1	1014.4	disjunction_negative	15
140	1	689.9	disjunction_negative	1
141	1	774.7	disjunction_negative	30
142	1	465.8	disjunction_negative	15
143	1	513.7	disjunction_negative	5
144	1	634.7	disjunction_negative	1
145	1	907.5	disjunction_negative	30
146	1	449.0	disjunction_negative	1
147	1	1108.4	disjunction_negative	15
148	1	537.9	disjunction_negative	5
149	1	1405.4	disjunction_negative	30
150	1	806.2	disjunction_negative	1
151	1	1032.9	disjunction_negative	5
152	1	1578.4	disjunction_negative	15
153	1	698.3	disjunction_negative	5
154	1	568.2	disjunction_negative	5
155	1	1989.9	disjunction_negative	30
156	1	1632.6	disjunction_negative	15
157	1	1497.3	disjunction_negative	30
158	1	707.1	disjunction_negative	15
159	1	913.6	disjunction_negative	5
160	1	1219.5	disjunction_negative	30
161	1	748.5	disjunction_negative	5
162	1	1060.8	disjunction_negative	5
163	1	1035.9	disjunction_negative	5
164	2	1788.5	disjunction_negative	1
165	2	1350.5	disjunction_negative	15
166	2	1040.3	disjunction_negative	1
167	2	1018.9	disjunction_negative	15
168	2	750.2	disjunction_negative	30
169	2	736.3	disjunction_negative	1
170	2	655.1	disjunction_negative	30
171	2	840.3	disjunction_negative	15
172	2	576.8	disjunction_negative	15
173	2	759.3	disjunction_negative	30
174	2	931.0	disjunction_negative	5
175	2	645.4	disjunction_negative	30
176	2	629.9	disjunction_negative	5
177	2	679.2	disjunction_negative	15
178	2	953.0	disjunction_negative	15
179	2	1004.9	disjunction_negative	1
180	2	561.2	disjunction_negative	1
181	2	723.9	disjunction_negative	5
182	2	1064.6	disjunction_negative	1
183	2	715.4	disjunction_negative	15
184	2	616.6	disjunction_negative	15
185	2	866.8	disjunction_negative	30
186	2	603.3	disjunction_negative	5
187	2	818.9	disjunction_negative	30
188	2	924.4	disjunction_negative	1
189	2	926.1	disjunction_negative	30
190	2	890.1	disjunction_negative	30
191	2	864.9	disjunction_negative	30
192	2	919.8	disjunction_negative	1
193	2	645.2	disjunction_negative	30
194	2	694.1	disjunction_negative	1
195	2	948.3	disjunction_negative	5
196	2	650.8	disjunction_negative	5
197	2	670.9	disjunction_negative	1
198	2	1582.6	disjunction_negative	30
199	2	632.9	disjunction_negative	5
200	2	684.9	disjunction_negative	1
201	2	1131.4	disjunction_negative	15
202	2	791.9	disjunction_negative	15
203	2	706.9	disjunction_negative	1
204	2	512.7	disjunction_negative	1
205	2	724.7	disjunction_negative	1
206	2	965.9	disjunction_negative	15
207	2	776.5	disjunction_negative	5
208	2	611.8	disjunction_negative	5
209	2	759.5	disjunction_negative	15
210	2	790.9	disjunction_negative	15
211	2	721.2	disjunction_negative	15
212	2	830.6	disjunction_negative	15
213	2	677.8	disjunction_negative	1
214	2	660.7	disjunction_negative	5
215	2	963.7	disjunction_negative	15
216	2	623.1	disjunction_negative	5
217	2	967.4	disjunction_negative	5
218	2	1786.7	disjunction_negative	30
219	2	625.8	disjunction_negative	5
220	2	659.4	disjunction_negative	5
221	2	900.1	disjunction_negative	5
222	2	969.9	disjunction_negative	30
223	2	1245.5	disjunction_negative	30
224	2	1205.6	disjunction_negative	30
225	2	1191.1	disjunction_negative	5
226	2	737.0	disjunction_negative	15
227	2	717.8	disjunction_negative	15
228	2	1211.1	disjunction_negative	15
229	2	1017.0	disjunction_negative	15
230	2	746.4	disjunction_negative	15
231	2	1123.7	disjunction_negative	15
232	2	673.3	disjunction_negative	15
233	2	1031.8	disjunction_negative	1
234	2	664.2	disjunction_negative	1
235	2	1559.9	disjunction_negative	5
236	2	563.8	disjunction_negative	5
237	2	598.9	disjunction_negative	15
238	2	1384.6	disjunction_negative	15
239	2	1028.6	disjunction_negative	15
240	2	726.1	disjunction_negative	15
241	2	1089.6	disjunction_negative	30
242	2	768.1	disjunction_negative	15
243	2	1107.2	disjunction_negative	15
244	2	599.7	disjunction_negative	5
245	2	1405.6	disjunction_negative	30
246	2	847.5	disjunction_negative	15
247	2	615.1	disjunction_negative	15
248	2	536.3	disjunction_negative	1
249	2	668.8	disjunction_negative	15
250	2	660.9	disjunction_negative	1
251	2	548.7	disjunction_negative	5
252	2	488.4	disjunction_negative	1
253	2	863.3	disjunction_negative	1
254	2	1302.8	disjunction_negative	30
255	2	690.6	disjunction_negative	30
256	2	656.7	disjunction_negative	30
257	2	677.0	disjunction_negative	1
258	2	1316.3	disjunction_negative	30
259	2	805.0	disjunction_negative	1
260	2	671.0	disjunction_negative	1
261	2	1288.8	disjunction_negative	30
262	2	1047.0	disjunction_negative	30
263	2	1631.2	disjunction_negative	1
264	2	631.8	disjunction_negative	5
265	2	439.9	disjunction_negative	1
266	2	963.8	disjunction_negative	5
267	2	1654.5	disjunction_negative	1
268	2	590.0	disjunction_negative	5
269	2	1173.0	disjunction_negative	30
270	2	695.7	disjunction_negative	30
271	2	597.9	disjunction_negative	1
272	2	699.6	disjunction_negative	5
273	2	711.1	disjunction_negative	1
274	2	674.1	disjunction_negative	5
275	2	721.2	disjunction_negative	1
276	2	712.9	disjunction_negative	5
277	2	662.7	disjunction_negative	30
278	2	1302.6	disjunction_negative	30
279	2	604.5	disjunction_negative	1
280	2	760.4	disjunction_negative	30
281	2	596.4	disjunction_negative	30
282	2	839.3	disjunction_negative	5
283	2	596.6	disjunction_negative	5
284	2	855.5	disjunction_negative	30
285	2	679.2	disjunction_negative	5
286	2	742.6	disjunction_negative	30
287	2	850.9	disjunction_negative	5
288	2	812.9	disjunction_negative	30
289	2	534.3	disjunction_negative	5
290	2	679.2	disjunction_negative	1
291	2	854.4	disjunction_negative	15
292	2	574.3	disjunction_negative	5
293	2	545.4	disjunction_negative	1
294	2	875.1	disjunction_negative	15
295	2	528.0	disjunction_negative	30
296	2	533.3	disjunction_negative	15
297	2	688.1	disjunction_negative	15
298	2	678.4	disjunction_negative	1
299	2	725.7	disjunction_negative	15
300	2	1027.2	disjunction_negative	5
301	2	977.9	disjunction_negative	30
302	2	903.8	disjunction_negative	30
303	2	759.0	disjunction_negative	30
304	2	534.6	disjunction_negative	5
305	2	493.3	disjunction_negative	1
306	2	683.2	disjunction_negative	5
307	2	1109.7	disjunction_negative	30
308	2	534.2	disjunction_negative	5
309	2	698.3	disjunction_negative	30
310	2	1029.0	disjunction_negative	5
311	2	827.4	disjunction_negative	1
312	2	644.6	disjunction_negative	5
313	2	1957.3	disjunction_negative	30
314	2	689.0	disjunction_negative	1
315	2	927.7	disjunction_negative	1
316	2	820.4	disjunction_negative	15
317	2	1284.5	disjunction_negative	30
318	2	618.9	disjunction_negative	15
319	2	528.6	disjunction_negative	5
320	2	826.3	disjunction_negative	1
321	2	595.4	disjunction_negative	15
322	2	838.4	disjunction_negative	30
323	2	814.5	disjunction_negative	1
324	2	909.3	disjunction_negative	15
325	2	578.9	disjunction_negative	30
326	2	923.4	disjunction_negative	1
327	2	1038.4	disjunction_negative	15
328	2	816.1	disjunction_negative	15
329	2	745.3	disjunction_negative	30
330	2	1253.6	disjunction_negative	30
331	2	717.5	disjunction_negative	15
332	2	507.0	disjunction_negative	15
333	2	704.7	disjunction_negative	30
334	2	558.7	disjunction_negative	15
335	2	839.0	disjunction_negative	5
336	2	687.5	disjunction_negative	5
337	2	894.5	disjunction_negative	15
338	2	1042.5	disjunction_negative	1
339	2	1076.0	disjunction_negative	30
340	2	623.0	disjunction_negative	1
341	2	1504.0	disjunction_negative	5
342	2	1127.6	disjunction_negative	5
343	2	552.1	disjunction_negative	1
344	2	508.0	disjunction_negative	5
345	2	563.3	disjunction_negative	5
346	2	598.7	disjunction_negative	5
347	3	1622.7	disjunction_negative	15
348	3	1996.0	disjunction_negative	15
349	3	1302.4	disjunction_negative	30
350	3	1436.2	disjunction_negative	15
351	3	2028.8	disjunction_negative	1
352	3	1317.9	disjunction_negative	15
353	3	1787.7	disjunction_negative	30
354	3	758.3	disjunction_negative	15
355	3	1812.1	disjunction_negative	5
356	3	1462.4	disjunction_negative	15
357	3	1397.6	disjunction_negative	15
358	3	1575.7	disjunction_negative	30
359	3	1283.1	disjunction_negative	15
360	3	857.3	disjunction_negative	30
361	3	1185.1	disjunction_negative	15
362	3	1083.8	disjunction_negative	5
363	3	938.7	disjunction_negative	30
364	3	798.9	disjunction_negative	1
365	3	1819.4	disjunction_negative	5
366	3	1631.1	disjunction_negative	15
367	3	1175.0	disjunction_negative	30
368	3	1175.7	disjunction_negative	5
369	3	1395.1	disjunction_negative	15
370	3	837.2	disjunction_negative	15
371	3	846.1	disjunction_negative	15
372	3	1155.6	disjunction_negative	5
373	3	1581.8	disjunction_negative	15
374	3	2168.2	disjunction_negative	1
375	3	2130.2	disjunction_negative	15
376	3	2145.9	disjunction_negative	5
377	3	1775.8	disjunction_negative	1
378	3	1395.4	disjunction_negative	1
379	3	1434.5	disjunction_negative	1
380	3	1815.1	disjunction_negative	30
381	3	1549.4	disjunction_negative	5
382	3	1523.9	disjunction_negative	30
383	3	1649.3	disjunction_negative	30
384	3	1624.9	disjunction_negative	30
385	3	1031.4	disjunction_negative	15
386	3	2007.8	disjunction_negative	1
387	3	1201.6	disjunction_negative	1
388	3	1243.6	disjunction_negative	30
389	3	1411.9	disjunction_negative	5
390	3	1062.0	disjunction_negative	1
391	3	1232.3	disjunction_negative	5
392	3	1160.8	disjunction_negative	1
393	3	1130.8	disjunction_negative	5
394	3	1931.0	disjunction_negative	30
