Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	15	X_blue	incorrect	F	12871	2	61367	1	13001	1	0	next
disjunction	positive	5	S_brown	hit	J	10214	2	99703	1	10334	1	0	next
disjunction	positive	30	T_blue	hit	J	15344	2	135372	1	15501	1	0	next
disjunction	negative	30	Null	hit	F	14991	2	176208	1	15168	1	0	next
disjunction	negative	5	Null	hit	F	9688	2	216710	1	9834	1	0	next
disjunction	negative	5	Null	hit	F	5880	2	251879	1	6000	1	0	next
disjunction	negative	15	Null	hit	F	8628	2	283215	1	8834	1	0	next
disjunction	negative	15	Null	hit	F	7903	2	317384	1	8001	1	0	next
disjunction	positive	30	T_blue	hit	J	6722	2	350719	1	6834	1	0	next
disjunction	negative	5	Null	hit	F	6235	2	382888	1	6334	1	0	next
disjunction	positive	30	S_green	hit	J	8646	2	414557	1	8834	1	0	next
disjunction	negative	1	Null	hit	F	6323	2	448725	1	6500	1	0	next
disjunction	positive	1	X_blue	hit	J	4408	2	480561	1	4500	1	0	next
disjunction	positive	15	T_blue	hit	J	5930	2	510396	1	6000	1	0	next
disjunction	negative	15	Null	hit	F	5955	2	541731	1	6000	1	0	next
disjunction	positive	15	S_brown	hit	J	6942	2	573067	1	7000	1	0	next
disjunction	negative	5	Null	hit	F	6289	2	605402	1	6334	1	0	next
disjunction	negative	15	Null	hit	F	7899	2	637071	1	8001	1	0	next
disjunction	negative	15	Null	hit	F	7844	2	670406	1	8001	1	0	next
disjunction	negative	15	Null	hit	F	7153	2	703742	1	7334	1	0	next
disjunction	negative	15	Null	hit	F	8722	2	736411	1	8834	1	0	next
disjunction	positive	30	T_blue	hit	J	6073	2	770579	1	6167	1	0	next
disjunction	positive	1	T_blue	hit	J	4656	2	802081	1	4834	1	0	next
disjunction	positive	5	X_blue	hit	J	6006	2	832250	1	6167	1	0	next
disjunction	negative	5	Null	hit	F	8109	2	863752	1	8167	1	0	next
disjunction	positive	1	S_green	hit	J	4681	2	897254	1	4834	1	0	next
disjunction	negative	5	Null	hit	F	5078	2	927423	1	5167	1	0	next
disjunction	negative	1	Null	hit	F	7532	2	957925	1	7667	1	0	next
disjunction	negative	5	Null	hit	F	8292	2	990927	1	8334	1	0	next
disjunction	negative	5	Null	hit	F	6943	2	1024596	1	7000	1	0	next
disjunction	negative	5	Null	hit	F	5489	2	1056931	1	5667	1	0	next
disjunction	positive	1	S_green	hit	J	4088	2	1087933	1	4167	1	0	next
disjunction	positive	1	S_green	incorrect	F	4829	2	1117435	1	5000	1	0	next
disjunction	positive	5	X_blue	hit	J	6173	2	1147770	1	6334	1	0	next
disjunction	negative	1	Null	hit	F	6670	2	1179439	1	6834	1	0	next
disjunction	positive	1	S_green	hit	J	4416	2	1211608	1	4500	1	0	next
disjunction	negative	1	Null	hit	F	7224	2	1241443	1	7334	1	0	next
disjunction	positive	30	X_blue	hit	J	5915	2	1274112	1	6000	1	0	next
disjunction	positive	5	S_green	hit	J	9143	2	1305447	1	9334	1	0	next
disjunction	negative	5	Null	hit	F	5992	2	1340116	1	6167	1	0	next
disjunction	positive	15	S_green	hit	J	8251	2	1371618	1	8334	1	0	next
disjunction	positive	15	T_blue	hit	J	5462	2	1405287	1	5500	1	0	next
disjunction	negative	30	Null	hit	F	9507	2	1436122	1	9667	1	0	next
disjunction	negative	5	Null	hit	F	10506	2	1471124	1	10667	1	0	next
disjunction	negative	15	Null	hit	F	7464	2	1507127	1	7500	1	0	next
